ticket_id,created_date,issue_description,product_area,tags,resolution,resolution_time_hrs,agent_name,customer_tier
TKT-1001,17-08-2022,Our backend service started returning a 403 error immediately after we upgraded to the Growth plan yesterday. The same API key was working before the upgrade. We already regenerated the key once but requests are still failing from our staging environment.,API & Authentication,"OAuth token, authentication, timeout","The redirect loop occurred because the OAuth callback URL in your Google Workspace app included a trailing slash that did not match the value stored in NexaSupport. We updated the Authorized Redirect URI under Integrations > OAuth Apps. After clearing the old consent session and reauthorizing the application, authentication completed successfully. We also enabled debug logging for the next 48 hours.",15,Sophia Nguyen,Enterprise
TKT-1002,29-07-2022,The API authentication endpoint intermittently returns a 500 error during peak hours. Retrying the same request sometimes works. We need help identifying whether this is related to our token configuration.,API & Authentication,"SSO login, Azure AD, redirect loop","We confirmed the plan upgrade created a secondary API workspace and the old key was scoped to the inactive workspace. Navigate to Settings > Developer > API Keys and generate a key under the active workspace ID. We also reset the permission cache tied to your tenant. After updating the X-API-KEY header in your staging environment, the 403 responses stopped. Please monitor the API Audit tab for the next 24 hours.",28,Ava Patel,Starter
TKT-1003,11-07-2022,Users are getting logged out every 20 minutes even though our session timeout is configured for 8 hours. We noticed repeated JWT expired messages in the audit logs. This issue started after enabling SSO with Azure AD.,API & Authentication,"SSO login, Azure AD, redirect loop",Our investigation showed the JWT token expiry value in the SSO configuration was set to 1200 seconds instead of 28800 seconds. We updated the Session Timeout field under Security > Authentication Policies. Your Azure AD metadata was also refreshed to remove stale claims. Users should now maintain sessions correctly across browser refreshes. We recommend clearing cached cookies once before retesting.,39,Ava Patel,Enterprise
TKT-1004,12-02-2023,The API authentication endpoint intermittently returns a 500 error during peak hours. Retrying the same request sometimes works. We need help identifying whether this is related to our token configuration.,API & Authentication,"OAuth token, authentication, timeout","We identified that your nightly sync process was using three parallel workers with the same API token, causing the combined request volume to exceed the tenant-level rate limit. We increased the burst threshold temporarily and recommended adding exponential backoff logic. You can review request counts under Developer Console > Usage Metrics. After reducing concurrency, no additional 429 errors were observed.",29,Mia Thompson,Starter
TKT-1005,23-11-2022,We are receiving rate limit exceeded responses even though our dashboard shows we are below the documented threshold. The API metrics page is delayed by several minutes. This is affecting our nightly sync job.,API & Authentication,"JWT expired, login, security","The redirect loop occurred because the OAuth callback URL in your Google Workspace app included a trailing slash that did not match the value stored in NexaSupport. We updated the Authorized Redirect URI under Integrations > OAuth Apps. After clearing the old consent session and reauthorizing the application, authentication completed successfully. We also enabled debug logging for the next 48 hours.",10,Ethan Rivera,Growth
TKT-1006,29-07-2022,Our backend service started returning a 403 error immediately after we upgraded to the Growth plan yesterday. The same API key was working before the upgrade. We already regenerated the key once but requests are still failing from our staging environment.,API & Authentication,"403 error, API key, plan upgrade","We identified that your nightly sync process was using three parallel workers with the same API token, causing the combined request volume to exceed the tenant-level rate limit. We increased the burst threshold temporarily and recommended adding exponential backoff logic. You can review request counts under Developer Console > Usage Metrics. After reducing concurrency, no additional 429 errors were observed.",23,Noah Kim,Enterprise
TKT-1007,26-06-2023,Our backend service started returning a 403 error immediately after we upgraded to the Growth plan yesterday. The same API key was working before the upgrade. We already regenerated the key once but requests are still failing from our staging environment.,API & Authentication,"SSO login, Azure AD, redirect loop","We identified that your nightly sync process was using three parallel workers with the same API token, causing the combined request volume to exceed the tenant-level rate limit. We increased the burst threshold temporarily and recommended adding exponential backoff logic. You can review request counts under Developer Console > Usage Metrics. After reducing concurrency, no additional 429 errors were observed.",8,Olivia Garcia,Starter
TKT-1008,24-08-2023,The API authentication endpoint intermittently returns a 500 error during peak hours. Retrying the same request sometimes works. We need help identifying whether this is related to our token configuration.,API & Authentication,"SSO login, Azure AD, redirect loop","The redirect loop occurred because the OAuth callback URL in your Google Workspace app included a trailing slash that did not match the value stored in NexaSupport. We updated the Authorized Redirect URI under Integrations > OAuth Apps. After clearing the old consent session and reauthorizing the application, authentication completed successfully. We also enabled debug logging for the next 48 hours.",13,Liam Brooks,Starter
TKT-1009,12-04-2023,The OAuth callback keeps redirecting users back to the login page in a loop. We confirmed the redirect URI matches the documentation. The issue is only happening for users authenticating through Google Workspace accounts.,API & Authentication,"OAuth token, authentication, timeout","We confirmed the plan upgrade created a secondary API workspace and the old key was scoped to the inactive workspace. Navigate to Settings > Developer > API Keys and generate a key under the active workspace ID. We also reset the permission cache tied to your tenant. After updating the X-API-KEY header in your staging environment, the 403 responses stopped. Please monitor the API Audit tab for the next 24 hours.",7,Olivia Garcia,Growth
TKT-1010,17-07-2024,The OAuth callback keeps redirecting users back to the login page in a loop. We confirmed the redirect URI matches the documentation. The issue is only happening for users authenticating through Google Workspace accounts.,API & Authentication,"JWT expired, login, security",Our investigation showed the JWT token expiry value in the SSO configuration was set to 1200 seconds instead of 28800 seconds. We updated the Session Timeout field under Security > Authentication Policies. Your Azure AD metadata was also refreshed to remove stale claims. Users should now maintain sessions correctly across browser refreshes. We recommend clearing cached cookies once before retesting.,23,Ethan Rivera,Enterprise
TKT-1011,01-07-2023,Our invoice for March includes charges for 25 seats even though we reduced the count to 18 before renewal. The billing page still shows the old quantity. We need clarification before processing payment.,Billing & Payments,"credit card, auto-renewal, billing cycle","The VAT exemption certificate was uploaded correctly, but the tax profile was still assigned to your previous regional entity. We updated the tax jurisdiction settings under Finance > Tax Configuration. A revised invoice without VAT charges has been generated. Future invoices should now reflect the exemption automatically.",35,Ethan Rivera,Starter
TKT-1012,04-08-2024,"The system charged us usage overage fees that do not match the API consumption numbers in the analytics dashboard. The discrepancy is around 12,000 requests. We want to understand how the calculation was done.",Billing & Payments,"usage billing, overcharge, enterprise plan","The renewal failed because the stored payment token had expired after your bank rotated security credentials. We asked your admin to update the card under Billing > Payment Methods and retry the renewal. Once the card was revalidated, the invoice processed successfully. We also enabled email alerts for future payment authorization failures.",15,Noah Kim,Starter
TKT-1013,15-04-2023,Our invoice for March includes charges for 25 seats even though we reduced the count to 18 before renewal. The billing page still shows the old quantity. We need clarification before processing payment.,Billing & Payments,"payment gateway, declined card, retry","The renewal failed because the stored payment token had expired after your bank rotated security credentials. We asked your admin to update the card under Billing > Payment Methods and retry the renewal. Once the card was revalidated, the invoice processed successfully. We also enabled email alerts for future payment authorization failures.",18,Liam Brooks,Starter
TKT-1014,07-10-2023,A customer on our finance team noticed two identical charges on the corporate card for the same billing cycle. The invoice IDs appear different but the amount is exactly the same. Please verify whether this is a duplicate transaction.,Billing & Payments,"payment gateway, declined card, retry",We compared your analytics dashboard against the raw metering logs and found that internal test traffic was incorrectly categorized as billable requests. The overage calculation was recalculated and adjusted on the latest invoice. A credit note has been applied to your account balance. We additionally excluded the affected API client ID from future billing metrics.,42,James Wilson,Starter
TKT-1015,27-06-2023,A customer on our finance team noticed two identical charges on the corporate card for the same billing cycle. The invoice IDs appear different but the amount is exactly the same. Please verify whether this is a duplicate transaction.,Billing & Payments,"usage billing, overcharge, enterprise plan",Our billing gateway confirmed that the second transaction was an accidental retry triggered during a timeout event. We voided the duplicate charge and issued a refund confirmation reference through Stripe. You can view the corrected transaction history in Billing > Payment Activity. The refund should appear on your statement within 5 to 7 business days.,35,Mia Thompson,Enterprise
TKT-1016,27-05-2024,"We attempted to apply a VAT exemption certificate but taxes are still being added to invoices. The finance settings page saved successfully. However, the latest invoice still includes regional tax charges.",Billing & Payments,"refund request, duplicate charge, subscription",We compared your analytics dashboard against the raw metering logs and found that internal test traffic was incorrectly categorized as billable requests. The overage calculation was recalculated and adjusted on the latest invoice. A credit note has been applied to your account balance. We additionally excluded the affected API client ID from future billing metrics.,15,Sophia Nguyen,Enterprise
TKT-1017,07-10-2024,Our invoice for March includes charges for 25 seats even though we reduced the count to 18 before renewal. The billing page still shows the old quantity. We need clarification before processing payment.,Billing & Payments,"invoice mismatch, failed payment, tax",We reviewed the subscription audit logs and found the seat reduction request was submitted after the invoice draft had already been generated. The invoice quantity was manually corrected from 25 to 18 seats. A revised invoice is now available under Billing > Documents. We also enabled invoice preview notifications for your account to prevent future confusion.,10,Sophia Nguyen,Enterprise
TKT-1018,14-05-2024,"We attempted to apply a VAT exemption certificate but taxes are still being added to invoices. The finance settings page saved successfully. However, the latest invoice still includes regional tax charges.",Billing & Payments,"payment gateway, declined card, retry",We reviewed the subscription audit logs and found the seat reduction request was submitted after the invoice draft had already been generated. The invoice quantity was manually corrected from 25 to 18 seats. A revised invoice is now available under Billing > Documents. We also enabled invoice preview notifications for your account to prevent future confusion.,25,James Wilson,Enterprise
TKT-1019,30-05-2023,"We attempted to apply a VAT exemption certificate but taxes are still being added to invoices. The finance settings page saved successfully. However, the latest invoice still includes regional tax charges.",Billing & Payments,"invoice mismatch, failed payment, tax",We reviewed the subscription audit logs and found the seat reduction request was submitted after the invoice draft had already been generated. The invoice quantity was manually corrected from 25 to 18 seats. A revised invoice is now available under Billing > Documents. We also enabled invoice preview notifications for your account to prevent future confusion.,44,Mia Thompson,Enterprise
TKT-1020,28-11-2023,Our invoice for March includes charges for 25 seats even though we reduced the count to 18 before renewal. The billing page still shows the old quantity. We need clarification before processing payment.,Billing & Payments,"payment gateway, declined card, retry","The renewal failed because the stored payment token had expired after your bank rotated security credentials. We asked your admin to update the card under Billing > Payment Methods and retry the renewal. Once the card was revalidated, the invoice processed successfully. We also enabled email alerts for future payment authorization failures.",11,James Wilson,Starter
TKT-1021,24-06-2023,The first-time login process redirects users to a blank page after password creation. This only affects newly invited accounts. Existing users can access the platform normally.,Onboarding & Setup,"account activation, setup wizard, first login","The DNS TXT record was valid, but the verification process was checking against an outdated cached resolver. We manually refreshed the verification queue and confirmed the domain status changed to verified. You can now continue through the setup wizard under Workspace Settings. We also reduced the cache refresh interval for your tenant.",7,Mia Thompson,Enterprise
TKT-1022,05-11-2024,The first-time login process redirects users to a blank page after password creation. This only affects newly invited accounts. Existing users can access the platform normally.,Onboarding & Setup,"domain verification, DNS, email setup","The DNS TXT record was valid, but the verification process was checking against an outdated cached resolver. We manually refreshed the verification queue and confirmed the domain status changed to verified. You can now continue through the setup wizard under Workspace Settings. We also reduced the cache refresh interval for your tenant.",24,Sophia Nguyen,Enterprise
TKT-1023,22-12-2024,We invited several team members during onboarding but none of them received the invitation email. The addresses are valid and not blocked internally. We also checked spam folders without success.,Onboarding & Setup,"role permissions, admin access, setup",The blank page after password creation was linked to an outdated redirect configuration in your workspace template. We updated the post-login redirect URL and cleared the affected onboarding sessions. Newly invited users can now complete first-time login without interruption. Existing accounts were not impacted by this issue.,32,Ava Patel,Starter
TKT-1024,14-01-2024,Our admin cannot assign custom roles to new users because the permissions page keeps failing to save changes. We tested this across two browsers. The error message only says operation failed.,Onboarding & Setup,"workspace setup, user invite, onboarding","The DNS TXT record was valid, but the verification process was checking against an outdated cached resolver. We manually refreshed the verification queue and confirmed the domain status changed to verified. You can now continue through the setup wizard under Workspace Settings. We also reduced the cache refresh interval for your tenant.",16,Liam Brooks,Starter
TKT-1025,22-09-2024,We invited several team members during onboarding but none of them received the invitation email. The addresses are valid and not blocked internally. We also checked spam folders without success.,Onboarding & Setup,"domain verification, DNS, email setup",The blank page after password creation was linked to an outdated redirect configuration in your workspace template. We updated the post-login redirect URL and cleared the affected onboarding sessions. Newly invited users can now complete first-time login without interruption. Existing accounts were not impacted by this issue.,9,James Wilson,Enterprise
TKT-1026,05-12-2022,Our admin cannot assign custom roles to new users because the permissions page keeps failing to save changes. We tested this across two browsers. The error message only says operation failed.,Onboarding & Setup,"account activation, setup wizard, first login",The blank page after password creation was linked to an outdated redirect configuration in your workspace template. We updated the post-login redirect URL and cleared the affected onboarding sessions. Newly invited users can now complete first-time login without interruption. Existing accounts were not impacted by this issue.,28,Ethan Rivera,Enterprise
TKT-1027,16-02-2023,Our admin cannot assign custom roles to new users because the permissions page keeps failing to save changes. We tested this across two browsers. The error message only says operation failed.,Onboarding & Setup,"role permissions, admin access, setup","Our onboarding diagnostics showed that your CRM integration was authenticated correctly but auto-tagging was disabled in the onboarding checklist. We enabled the Auto-Tagging Workflow toggle under Integrations > CRM Settings. Once the feature was activated, the onboarding checklist completed successfully. Historical records began syncing within ten minutes.",29,James Wilson,Starter
TKT-1028,23-05-2023,The setup wizard gets stuck on the domain verification step even after we added the required DNS TXT record. DNS propagation completed over 24 hours ago. The UI still shows verification pending.,Onboarding & Setup,"role permissions, admin access, setup",We traced the invitation delivery issue to your company's email security gateway blocking automated onboarding messages. We resent the invitations from a verified fallback domain and confirmed successful delivery. Please whitelist notifications@nexasupport.io in your mail policy settings. Newly invited users should now receive activation emails normally.,2,Ethan Rivera,Enterprise
